Distance,NS,Degree,Minutes,Seconds,EW,DD,Bearing in Radians,Latitude,Departure,Northing,Easting
,,,,,,,,,,151651.94800,1016284.67000
15.01,South,19,26,24,East,,,,,,
273.69,South,68,53,12,West,,,,,,
108.39,South,45,44,01,West,,,,,,
403.92,South,72,08,03,West,,,,,,
183.06,South,75,44,52,West,,,,,,
161.74,South,81,36,01,West,,,,,,
26.64,South,42,26,17,West,,,,,,
70.7,South,41,39,31,West,,,,,,
284.78,South,87,30,55,West,,,,,,
172.73,North,87,21,42,West,,,,,,
113.59,North,01,48,35,West,,,,,,
153.88,North,77,40,57,West,,,,,,
225.34,North,76,08,27,West,,,,,,
25.66,North,40,23,11,West,,,,,,
245.68,South,76,08,27,East,,,,,,
165.66,South,77,40,57,East,,,,,,
111.4,South,01,48,35,East,,,,,,
158.18,South,87,21,42,East,,,,,,
277.76,North,87,30,55,East,,,,,,
64.46,North,41,39,31,East,,,,,,
32.08,North,42,26,17,East,,,,,,
166.31,North,81,36,01,East,,,,,,
181.82,North,75,44,52,East,,,,,,
399.93,North,72,08,03,East,,,,,,
107.94,North,45,44,01,East,,,,,,
277.2,North,68,53,12,East,,,,,,
